index,value
0,0
1,0.0887356
2,0.125491
3,0.153695
4,0.177471
5,0.198419
6,0.217357
7,0.234772
8,0.250982
9,0.266207
10,0.280607
11,0.294303
12,0.307389
13,0.319941
14,0.332018
15,0.343672
16,0.354943
17,0.365866
18,0.376473
19,0.38679
20,0.396838
21,0.406638
22,0.416207
23,0.425561
24,0.434714
25,0.443678
26,0.452465
27,0.461084
28,0.469545
29,0.477856
30,0.486025
31,0.494059
32,0.501965
33,0.509748
34,0.517413
35,0.524967
36,0.532414
37,0.539758
38,0.547003
39,0.554154
40,0.561214
41,0.568185
42,0.575073
43,0.581879
44,0.588606
45,0.595257
46,0.601834
47,0.608341
48,0.614779
49,0.62115
50,0.627456
51,0.633699
52,0.639882
53,0.646005
54,0.652071
55,0.658081
56,0.664037
57,0.669939
58,0.675791
59,0.681591
60,0.687343
61,0.693048
62,0.698705
63,0.704317
64,0.709885
65,0.71541
66,0.720892
67,0.726333
68,0.731733
69,0.737094
70,0.742416
71,0.7477
72,0.752947
73,0.758158
74,0.763333
75,0.768473
76,0.773579
77,0.778652
78,0.783692
79,0.7887
80,0.793676
81,0.798621
82,0.803535
83,0.80842
84,0.813276
85,0.818102
86,0.822901
87,0.827671
88,0.832414
89,0.83713
90,0.84182
91,0.846484
92,0.851122
93,0.855736
94,0.860324
95,0.864888
96,0.869428
97,0.873945
98,0.878438
99,0.882909
100,0.887357
101,0.891782
102,0.896186
103,0.900568
104,0.90493
105,0.90927
106,0.913589
107,0.917889
108,0.922168
109,0.926427
110,0.930667
111,0.934888
112,0.93909
113,0.943273
114,0.947437
115,0.951584
116,0.955712
117,0.959823
118,0.963916
119,0.967992
120,0.97205
121,0.976092
122,0.980117
123,0.984126
124,0.988118
125,0.992095
126,0.996055
127,1
