index,value
0,1
1,0.985294
2,0.970588
3,0.955882
4,0.941176
5,0.926471
6,0.911765
7,0.897059
8,0.882353
9,0.867647
10,0.852941
11,0.838235
12,0.823529
13,0.808824
14,0.794118
15,0.779412
16,0.764706
17,0.75
18,0.735294
19,0.720588
20,0.705882
21,0.691176
22,0.676471
23,0.661765
24,0.647059
25,0.632353
26,0.617647
27,0.602941
28,0.588235
29,0.573529
30,0.558824
31,0.544118
32,0.529412
33,0.514706
34,0.5
35,0.485294
36,0.470588
37,0.455882
38,0.441176
39,0.426471
40,0.411765
41,0.397059
42,0.382353
43,0.367647
44,0.352941
45,0.338235
46,0.323529
47,0.308824
48,0.294118
49,0.279412
50,0.264706
51,0.25
52,0.235294
53,0.220588
54,0.205882
55,0.191176
56,0.176471
57,0.161765
58,0.147059
59,0.132353
60,0.117647
61,0.102941
62,0.0882353
63,0.0735294
64,0.0588235
65,0.0441176
66,0.0294118
67,0.0147059
68,0
